Curso,Nivel,Codigo,Genero,Adaptacion,Puntuacion_profesor,Puntuacion_apoyo,Material,Puntuacion_curso,Edad,Decision,Gusto_g,Interes_profesional_g,Autoeficacia_g,Utilidad_g
CIENCIA EN LA COCINA,0,1402000,0,3,8,9,2,10,10,1,0.166666667,0.333333333,0.5,0
INGENIERIA MECANICA,1,1404024,1,2,10,10,3,9,17,2,-0.333333333,-0.333333333,-0.5,0.4
MINECRAFT,0,1405000,0,3,10,10,3,10,12,0,1.166666667,1,-0.25,0.2
INTELIGENCIA ARTIFICIAL,1,1407450,0,3,9,9,1,7,16,2,0,-0.666666667,-0.25,0
MINECRAFT,0,1407847,0,2,10,8,3,9,13,2,0.333333333,0.333333333,0,0
MINECRAFT,0,1407920,0,2,9,8,3,10,13,2,0.5,0.166666667,-0.25,0
MINECRAFT,0,1411000,0,3,10,10,2,7,11,1,1,-1.333333333,0.75,0.4
CIBERSEGURIDAD,1,1411232,0,3,10,10,3,10,16,2,-0.166666667,0,1,-0.4
BIOINGENIERIA,1,1412021,1,3,10,10,3,10,14,1,-0.5,-0.333333333,-1.25,0.4
EMPRENDE ICADE,1,1503393,1,3,10,10,3,10,16,1,0.166666667,0.333333333,0.25,0
MINECRAFT,0,1504000,0,3,9,10,3,8,11,2,0.166666667,-0.333333333,1,0.8
CIENCIA EN LA COCINA,0,1505000,1,2,9,8,3,10,11,0,-0.5,0.333333333,-0.5,0.4
INGENIERIA MECANICA,1,1506244,1,3,9,9,3,9,17,2,0.166666667,-0.666666667,0.75,0.6
VIDEOJUEGOS 2D,0,1506349,0,3,10,10,3,10,13,0,1.666666667,1,-0.25,0
BIOINGENIERIA,0,1508281,0,3,10,10,3,10,12,1,0,-0.5,0.25,0
INGENIERIA MECANICA,1,1509805,0,3,8,8,3,9,14,1,0.166666667,0,0.25,0.2
EMPRENDE ICADE,1,1601458,0,2,8,8,2,8,17,1,0.166666667,0,0.25,0.2
BIOINGENIERIA,0,1601778,1,2,9,9,3,10,13,1,0.166666667,1.166666667,0.25,0.6
INGENIERIA MECANICA,1,1603225,0,3,10,10,2,8,17,2,0.166666667,0.166666667,0.25,0.4
MINECRAFT,0,1606000,0,3,10,10,3,10,10,0,0.166666667,-0.666666667,-1,0
BIOINGENIERIA,0,1607000,1,2,7,10,3,7,13,1,-0.333333333,-0.333333333,0,0
DRONES,1,1608055,0,3,10,10,3,10,15,2,0.166666667,-0.833333333,-0.75,0.8
BIOINGENIERIA,1,1610000,0,2,10,10,3,10,13,2,0,0,0.25,0
INGENIERIA ELECTRONICA,1,1610654,0,2,9,7,3,7,13,1,-0.166666667,0.833333333,-0.5,0.4
DRONES,1,1611000,0,3,9,9,2,10,14,2,0.166666667,-0.166666667,0.25,0.2
BIOINGENIERIA,1,1701279,1,2,10,10,3,10,16,0,-0.333333333,-0.166666667,-0.25,0.4
BIOINGENIERIA,1,1701657,0,2,9,10,3,9,16,2,0.166666667,0.5,0.25,0.2
EMPRENDE ICADE,1,1701952,0,3,10,10,3,10,16,2,-0.166666667,0.166666667,1.25,-0.2
MINECRAFT,0,1702000,0,2,8,9,2,10,12,2,0.166666667,0.333333333,-0.25,-2.4
EMPRENDE ICADE,1,1702418,1,1,10,10,3,4,15,0,1,-0.333333333,-2.25,1.4
