Codigo,Edad,Nivel,Genero,Gusto,Interes_profesional,Autoeficacia,Utilidad,Grupo_Edad,label
140710.0,10,JUNIOR,Chico,4.666666666666667,4.333333333333333,4.0,4.0,Younger student,0
409000.0,9,JUNIOR,Chico,3.5,2.5,5.0,5.0,Younger student,2
1003000.0,10,JUNIOR,Chico,5.0,3.5,4.0,4.8,Younger student,2
1103750.0,12,JUNIOR,Chico,2.6666666666666665,2.0,3.75,3.4,Younger student,1
1405000.0,12,JUNIOR,Chico,2.833333333333333,3.6666666666666665,3.5,4.6,Younger student,2
1411000.0,11,JUNIOR,Chico,1.6666666666666667,2.333333333333333,2.5,3.8,Younger student,1
1504000.0,11,JUNIOR,Chico,3.1666666666666665,3.0,4.0,3.6,Younger student,1
1909000.0,11,JUNIOR,Chico,2.333333333333333,2.333333333333333,2.5,4.0,Younger student,1
2203000.1,12,JUNIOR,Chico,5.0,4.333333333333333,5.0,5.0,Younger student,0
2507000.0,10,JUNIOR,Chico,4.5,2.833333333333333,3.5,4.6,Younger student,2
2611160.0,12,JUNIOR,Chico,4.666666666666667,4.0,4.0,4.8,Younger student,0
711046.0,14,SENIOR,Chico,4.166666666666667,4.5,2.75,4.4,Older student,2
1704015.0,12,SENIOR,Chico,4.666666666666667,3.6666666666666665,3.75,5.0,Younger student,2
1901355.0,15,SENIOR,Chico,4.5,3.8333333333333335,3.25,4.4,Older student,2
2101370.0,17,SENIOR,Chico,4.5,5.0,3.25,4.0,Older student,0
2311467.0,13,SENIOR,Chico,3.5,2.833333333333333,4.0,4.6,Older student,2
606472.0,16,JUNIOR,Chico,4.333333333333333,3.6666666666666665,4.0,4.4,Older student,2
609000.2,12,JUNIOR,Chica,3.6666666666666665,3.5,2.75,4.6,Younger student,2
1104000.0,10,JUNIOR,Chica,4.166666666666667,3.8333333333333335,3.75,5.0,Younger student,2
1310000.1,9,JUNIOR,Chica,4.166666666666667,3.5,3.75,3.8,Younger student,2
1311000.1,11,JUNIOR,Chico,3.1666666666666665,3.0,4.5,4.2,Younger student,2
1702000.0,11,JUNIOR,Chica,4.166666666666667,3.333333333333333,4.75,4.0,Younger student,2
1810000.0,10,JUNIOR,Chico,4.166666666666667,4.833333333333333,3.75,4.8,Younger student,0
1905000.0,10,JUNIOR,Chico,3.8333333333333335,3.333333333333333,3.75,4.2,Younger student,2
2108000.0,10,JUNIOR,Chico,3.6666666666666665,3.0,4.0,3.6,Younger student,2
2502000.1,12,JUNIOR,Chico,5.0,4.333333333333333,5.0,4.0,Younger student,0
2604000.0,11,JUNIOR,Chica,3.5,3.1666666666666665,4.5,4.0,Younger student,2
2709000.0,10,JUNIOR,Chica,3.6666666666666665,3.1666666666666665,3.75,3.6,Younger student,2
1042011000.0,10,JUNIOR,Chico,4.833333333333333,4.0,2.75,4.6,Younger student,2
1206306.0,15,SENIOR,Chico,5.0,5.0,4.5,4.2,Older student,0
3103858.0,16,SENIOR,Chica,4.5,5.0,3.75,4.6,Older student,0
103000.0,13,JUNIOR,Chico,4.166666666666667,3.6666666666666665,4.25,4.8,Older student,2
202000.0,13,JUNIOR,Chico,4.166666666666667,4.0,4.25,3.4,Older student,2
225000.0,11,JUNIOR,Chico,3.333333333333333,3.0,4.25,5.0,Younger student,2
608000.0,11,JUNIOR,Chica,4.666666666666667,4.166666666666667,5.0,4.4,Younger student,0
712000.0,11,JUNIOR,Chico,4.833333333333333,4.166666666666667,3.25,4.2,Younger student,0
802000.0,11,JUNIOR,Chico,4.666666666666667,2.833333333333333,5.0,5.0,Younger student,2
