Curso,Nivel,Codigo,Genero,Adaptacion,Puntuacion_profesor,Puntuacion_apoyo,Laboratorios_escuela,Laboratorios_comunicaciones,Sensibilizacion_ONG,Material,Ingenieria_despues,Dedicacion,Valoracion_ingenierias,Nivel_matematicas,Recomendacion,Repetir,Puntuacion_curso,Mejor_curso,Peor_curso,Mejorar,Gustar,Estudiar,Entender,No_entender,Profesional,Actividades,Carrera,Facilidad,Disfrutar,No_trabajo,Mundo_mejor,Interes_asignaturas,Salida_profesional,Actividades_instituto,Dificultad_asignaturas,Trabajo,Respeto_cientificos,Efecto_vidas,No_gustar,Examenes,Decisiones_personales
BIOINGENIERIA,JUNIOR,3006000,Chico,Muy bien,10,10,Muy buena,No asistí,Regular,Muy bien,Sí,a ser programador,Muy buena,Muy bien,Sí,Sí,10,los laboratorios,nada,nada,5,5,5,1,1,5,5,5,5,1,5,5,5,5,1,5,5,5,1,5,5
BIOINGENIERIA,JUNIOR,3009335,Chico,Muy bien,10,10,Muy buena,No asistí,Muy buena,Muy bien,No sé,No sé,Muy buena,Muy bien,Sí,Sí,10,Los profesores,Nada,No sé,5,5,5,1,1,5,5,5,5,5,5,5,5,5,1,5,4,5,1,1,5
BIOINGENIERIA,JUNIOR,15082008,Chico,Muy bien,5,10,Muy buena,No asistí,Muy buena,Bien,Sí,No sé exactamente,Muy buena,Regular,Sí,Sí,10,Todo,La teoría,Nada,5,5,5,1,1,5,5,5,5,1,5,5,5,5,1,5,4,5,1,1,3
BIOINGENIERIA,JUNIOR,28032010,Chica,Poco,9,10,Muy buena,Buena,Buena,Muy bien,No sé,no lo se,Buena,Bien,Sí,Sí,10,los experimentos,las explicaciones muy largas,hacer mas experimetos y explicaciones mas cortas,4,3,4,1,3,4,3,4,5,3,5,4,3,5,1,3,4,5,1,2,5
BIOINGENIERIA,SENIOR,27556,Chico,Bien,7,8,No asistí,No asistí,Regular,Bien,No sé,Ns,Me da igual,Muy bien,Sí,Sí,8,Ns,Ns,Ns,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
BIOINGENIERIA,SENIOR,103661,Chica,Bien,9,10,Buena,Buena,Muy buena,Muy bien,Sí,Cirugía,Me da igual,Muy bien,Sí,Sí,10,Neurociencia,Conferencia,Agilidad,5,5,5,2,1,3,5,5,5,1,5,5,5,5,1,5,5,4,1,1,5
BIOINGENIERIA,SENIOR,106689,Chico,Bien,9,10,Buena,No asistí,,Muy bien,Sí,Ni idea macho,Me da igual,Bien,Sí,Sí,10,Mirar cosas en el microscopio,Tener que limpiar el kefir,"Nada, el curso esta muy bien",4,4,4,2,4,4,4,4,5,2,5,5,4,4,1,4,4,5,1,1,5
BIOINGENIERIA,SENIOR,106843,Chica,Muy bien,10,10,Buena,No asistí,,Muy bien,Sí,"Algo relacionado con la psicología y la neuróloga, o quizá algo relacionado con la biología en general",Buena,Muy bien,Sí,Sí,10,"La parte de teoría, sobre todo, neuróloga",Nada :D,Añadir más cursos,4,5,5,2,1,4,4,4,5,1,5,4,5,4,1,4,3,5,1,2,5
BIOINGENIERIA,SENIOR,107547,Chico,Bien,8,9,Muy buena,No asistí,,Bien,Sí,Ingeniería Biomédica,Muy buena,Bien,Sí,Sí,9,Mirar cosas en el microscopio.,Tener que limpiar el kéfir pero nada más.,,5,5,4,2,1,4,5,4,5,1,4,5,5,5,3,5,3,5,1,2,3
BIOINGENIERIA,SENIOR,201095,Chica,Muy bien,9,9,Muy buena,No asistí,Buena,Muy bien,Sí,Algo relacionado con la ciencia y la salud,Muy buena,Muy bien,Sí,Sí,9,"Las prácticas (microscopio, aparatos) y profesores",No ha habido nada que podría ser considerado como lo peor,,5,5,5,1,1,4,5,4,4,1,5,5,5,5,4,5,3,5,1,4,4
BIOINGENIERIA,SENIOR,211655,Chico,Bien,10,10,Muy buena,No asistí,Buena,Muy bien,Sí,No lo sé,Muy buena,Bien,Sí,Sí,9,"Lo mejor del curso me ha parecido la cantidad de experimentos interesantes que hemos hecho, ya que en mi colegio (y creo que en los de la mayoría de alumnos del curso) no bajamos apenas al laboratorio, por lo que me ha gustado. Además, ha sido de mi agrado la sensación de dar contenido que se imparte en el colegio y sentir que es totalmente diferente al colegio ya que la atmósfera y el ambiente es distinto y no se siente presión alguna (o al menos en mi caso).","El horario, la hora de comienzo me parece muy pronto. No obstante, entiendo y comprendo que la hora de inicio sea la establecida (08:30).",,5,4,5,2,3,5,3,3,5,2,5,5,4,5,3,4,4,5,1,4,5
BIOINGENIERIA,SENIOR,306636,Chico,Muy bien,10,10,Muy buena,No asistí,Muy buena,Muy bien,Sí,Matematico/ingeniero,Muy buena,Muy bien,Sí,Sí,10,Mirar cosas en el microscopio,Nada,Nada,5,5,5,1,1,5,5,5,5,1,5,5,5,5,1,5,5,5,1,5,5
BIOINGENIERIA,SENIOR,312695,Chica,Bien,10,10,Buena,Buena,Buena,Bien,Sí,No lo sé,Buena,Muy bien,Sí,No,10,Los experimentos y parte práctica,No lo sé,,4,5,4,1,1,4,4,5,4,2,5,4,4,5,2,3,3,5,2,1,4
